-7.56 -9.10104e-13 -6.86218e-12
-7.54 -1.05802e-12 -7.95634e-12
-7.52 -1.22949e-12 -9.2212e-12
-7.5 -1.42818e-12 -1.06828e-11
-7.48 -1.65831e-12 -1.2371e-11
-7.46 -1.92476e-12 -1.43202e-11
-7.44 -2.23312e-12 -1.65698e-11
-7.42 -2.58985e-12 -1.91649e-11
-7.4 -3.00236e-12 -2.21574e-11
-7.38 -3.47919e-12 -2.56068e-11
-7.36 -4.03013e-12 -2.95811e-11
-7.34 -4.66645e-12 -3.41584e-11
-7.32 -5.40107e-12 -3.94278e-11
-7.3 -6.24885e-12 -4.54916e-11
-7.28 -7.2268e-12 -5.24666e-11
-7.26 -8.35446e-12 -6.04863e-11
-7.24 -9.65422e-12 -6.97035e-11
-7.22 -1.11517e-11 -8.02925e-11
-7.2 -1.28764e-11 -9.24524e-11
-7.18 -1.48618e-11 -1.0641e-10
-7.16 -1.71465e-11 -1.22426e-10
-7.14 -1.97745e-11 -1.40794e-10
-7.12 -2.27962e-11 -1.61853e-10
-7.1 -2.62691e-11 -1.85985e-10
-7.08 -3.0259e-11 -2.13628e-10
-7.06 -3.48409e-11 -2.4528e-10
-7.04 -4.01006e-11 -2.81506e-10
-7.02 -4.61359e-11 -3.22951e-10
-7 -5.30583e-11 -3.70347e-10
-6.98 -6.09949e-11 -4.24524e-10
-6.96 -7.00907e-11 -4.86429e-10
-6.94 -8.05106e-11 -5.57134e-10
-6.92 -9.24427e-11 -6.37855e-10
-6.9 -1.06101e-10 -7.29973e-10
-6.88 -1.21728e-10 -8.35053e-10
-6.86 -1.39601e-10 -9.5487e-10
-6.84 -1.60034e-10 -1.09143e-09
-6.82 -1.83385e-10 -1.24702e-09
-6.8 -2.10059e-10 -1.4242e-09
-6.78 -2.40516e-10 -1.62589e-09
-6.76 -2.75279e-10 -1.85538e-09
-6.74 -3.14941e-10 -2.1164e-09
-6.72 -3.60173e-10 -2.41316e-09
-6.7 -4.11737e-10 -2.7504e-09
-6.68 -4.70495e-10 -3.1335e-09
-6.66 -5.37423e-10 -3.56849e-09
-6.64 -6.13625e-10 -4.0622e-09
-6.62 -7.00353e-10 -4.62233e-09
-6.6 -7.99018e-10 -5.25754e-09
-6.58 -9.11219e-10 -5.9776e-09
-6.56 -1.03876e-09 -6.79349e-09
-6.54 -1.18368e-09 -7.71759e-09
-6.52 -1.34828e-09 -8.7638e-09
-6.5 -1.53515e-09 -9.94776e-09
-6.48 -1.74722e-09 -1.12871e-08
-6.46 -1.9878e-09 -1.28014e-08
-6.44 -2.26059e-09 -1.4513e-08
-6.42 -2.5698e-09 -1.64467e-08
-6.4 -2.92012e-09 -1.86304e-08
-6.38 -3.31688e-09 -2.10954e-08
-6.36 -3.76605e-09 -2.38767e-08
-6.34 -4.27432e-09 -2.70137e-08
-6.32 -4.84926e-09 -3.05503e-08
-6.3 -5.49932e-09 -3.45357e-08
-6.28 -6.23404e-09 -3.90251e-08
-6.26 -7.06409e-09 -4.40799e-08
-6.24 -8.00146e-09 -4.97691e-08
-6.22 -9.05959e-09 -5.61695e-08
-6.2 -1.02535e-08 -6.33669e-08
-6.18 -1.16002e-08 -7.14573e-08
-6.16 -1.31185e-08 -8.05476e-08
-6.14 -1.48296e-08 -9.0757e-08
-6.12 -1.67571e-08 -1.02218e-07
-6.1 -1.89276e-08 -1.1508e-07
-6.08 -2.13707e-08 -1.29507e-07
-6.06 -2.41195e-08 -1.45682e-07
-6.04 -2.7211e-08 -1.6381e-07
-6.02 -3.06865e-08 -1.84119e-07
-6 -3.4592e-08 -2.0686e-07
-5.98 -3.8979e-08 -2.32315e-07
-5.96 -4.39047e-08 -2.60794e-07
-5.94 -4.94332e-08 -2.92644e-07
-5.92 -5.56355e-08 -3.28249e-07
-5.9 -6.2591e-08 -3.68035e-07
-5.88 -7.03879e-08 -4.12473e-07
-5.86 -7.91244e-08 -4.62086e-07
-5.84 -8.89097e-08 -5.17454e-07
-5.82 -9.98651e-08 -5.79218e-07
-5.8 -1.12126e-07 -6.48086e-07
-5.78 -1.25841e-07 -7.24845e-07
-5.76 -1.41178e-07 -8.10361e-07
-5.74 -1.5832e-07 -9.05592e-07
-5.72 -1.77473e-07 -1.0116e-06
-5.7 -1.98864e-07 -1.12955e-06
-5.68 -2.22743e-07 -1.26073e-06
-5.66 -2.4939e-07 -1.40656e-06
-5.64 -2.79114e-07 -1.56862e-06
-5.62 -3.12255e-07 -1.74863e-06
-5.6 -3.49191e-07 -1.94849e-06
-5.58 -3.9034e-07 -2.17029e-06
-5.56 -4.36164e-07 -2.41635e-06
-5.54 -4.87173e-07 -2.68919e-06
-5.52 -5.43929e-07 -2.99161e-06
-5.5 -6.07055e-07 -3.32666e-06
-5.48 -6.77235e-07 -3.6977e-06
-5.46 -7.55227e-07 -4.10843e-06
-5.44 -8.41864e-07 -4.5629e-06
-5.42 -9.38064e-07 -5.06555e-06
-5.4 -1.04484e-06 -5.62123e-06
-5.38 -1.1633e-06 -6.2353e-06
-5.36 -1.29468e-06 -6.91358e-06
-5.34 -1.44032e-06 -7.66248e-06
-5.32 -1.60169e-06 -8.48898e-06
-5.3 -1.78044e-06 -9.40074e-06
-5.28 -1.97835e-06 -1.04061e-05
-5.26 -2.19737e-06 -1.15142e-05
-5.24 -2.43967e-06 -1.27351e-05
-5.22 -2.7076e-06 -1.40795e-05
-5.2 -3.00375e-06 -1.55594e-05
-5.18 -3.33096e-06 -1.71878e-05
-5.16 -3.69234e-06 -1.89787e-05
-5.14 -4.0913e-06 -2.09474e-05
-5.12 -4.53154e-06 -2.31108e-05
-5.1 -5.01715e-06 -2.54871e-05
-5.08 -5.55257e-06 -2.8096e-05
-5.06 -6.14268e-06 -3.09591e-05
-5.04 -6.79279e-06 -3.40998e-05
-5.02 -7.50869e-06 -3.75435e-05
-5 -8.29673e-06 -4.13177e-05
-4.98 -9.1638e-06 -4.54524e-05
-4.96 -1.01174e-05 -4.99802e-05
-4.94 -1.11659e-05 -5.4936e-05
-4.92 -1.2318e-05 -6.03581e-05
-4.9 -1.35836e-05 -6.62878e-05
-4.88 -1.49732e-05 -7.27697e-05
-4.86 -1.64984e-05 -7.9852e-05
-4.84 -1.81716e-05 -8.75872e-05
-4.82 -2.00066e-05 -9.60315e-05
-4.8 -2.2018e-05 -0.000105246
-4.78 -2.4222e-05 -0.000115297
-4.76 -2.66359e-05 -0.000126254
-4.74 -2.92787e-05 -0.000138195
-4.72 -3.21708e-05 -0.000151203
-4.7 -3.53345e-05 -0.000165366
-4.68 -3.87938e-05 -0.000180779
-4.66 -4.25747e-05 -0.000197547
-4.64 -4.67054e-05 -0.000215779
-4.62 -5.12164e-05 -0.000235595
-4.6 -5.61406e-05 -0.000257124
-4.58 -6.15137e-05 -0.000280502
-4.56 -6.7374e-05 -0.000305878
-4.54 -7.37632e-05 -0.00033341
-4.52 -8.07259e-05 -0.000363267
-4.5 -8.83106e-05 -0.000395631
-4.48 -9.65692e-05 -0.000430699
